,phase,S_score,G2M_score
SRR4216832,G1,-0.05234368668907263,-0.25106153849134805
SRR4216833,G1,-0.02845069023284197,-0.3094206274835781
SRR4216834,G1,-0.03813260150350106,-0.12490665923758826
SRR4216835,G2M,-0.20408699670892683,0.026940192126905682
SRR4216836,S,0.20686889383216056,-0.3854703688804748
SRR4216837,S,0.07177745283301684,0.006268368741351837
SRR4216838,S,0.06312276563759389,-0.4369386137195388
SRR4216839,S,0.28353049168908884,-0.05132064074095921
SRR4216840,G1,-0.2181120076565839,-0.37650586455441803
SRR4216841,G1,-0.059810297275946445,-0.2035671276050608
SRR4216842,G1,-0.13225675839016937,-0.03671928460010809
SRR4216843,G1,-0.1961426057165866,-0.3509907477598788
SRR4216844,S,0.027179028227912738,-0.2424183885042399
SRR4216845,G1,-0.07221170376755448,-0.326975700730763
SRR4216846,G1,-0.02470996194705255,-0.501040972881102
SRR4216847,G1,-0.06804530895287697,-0.08755013771991416
SRR4216848,G1,-0.5708589305187896,-0.3897804033394081
SRR4216849,G1,-0.06517704909409927,-0.09238334326431397
SRR4216850,G1,-0.4296657309867703,-0.32837553872961445
SRR4216851,G1,-0.06391169144587927,-0.11445614497551837
SRR4216852,S,0.009919972121632092,-0.5560594372542812
SRR4216853,G1,-0.12479390795905287,-0.21163929251087454
SRR4216854,G1,-0.17092160266890122,-0.15080730594678027
SRR4216855,S,0.5702750331920372,0.05347511452059295
SRR4216856,S,0.24102639470208687,-0.4157946881896539
SRR4216857,G1,-0.05286621252027324,-0.4710289650262022
SRR4216858,S,0.24614720174769644,-0.30374966559546734
SRR4216859,G1,-0.3201325172999676,-0.1476446169679435
SRR4216860,G1,-0.0973609323290372,-0.11930938432470595
SRR4216861,G1,-0.08877786989802905,-0.1644686514178989
SRR4216862,G2M,-0.024839802820340928,0.14377023666350053
SRR4216863,G1,-0.48464220954418036,-0.16208971381521353
SRR4216864,S,0.23249629314519926,-0.10496037357250587
SRR4216865,G1,-0.14609585444667217,-0.2047701978584151
SRR4216866,S,0.15206090308452191,-0.2874777304204059
SRR4216867,S,0.22693839365940716,0.13988290808798998
SRR4216868,G1,-0.2759754923100495,-0.09391040003334816
SRR4216869,S,0.09713630473075685,-0.035095175663852785
SRR4216870,G1,-0.17481342055799587,-0.04753083147759796
SRR4216871,S,0.3505888709776003,-0.11655522824395437
SRR4216872,G1,-0.11142308176616544,-0.25785501950398304
SRR4216873,G1,-0.02792821145706026,-0.22353416710828722
SRR4216874,G2M,0.0017424001391608268,0.11079311062616148
SRR4216875,S,0.045894834552119956,-0.11970879460840078
SRR4216876,G1,-0.2533856063855607,-0.19109792393582536
SRR4216877,G1,-0.29434942336920633,-0.35141030829211195
SRR4216878,G1,-0.037794999191331224,-0.10378538544198734
SRR4216879,S,0.1308135922161644,-0.40394856626169084
SRR4216880,S,0.2878640048939004,-0.10173562500640032
SRR4216881,S,1.8215567201401026,0.5363547625079681
SRR4216882,S,0.17390589049659866,0.08380623524074093
SRR4216883,G1,-0.09399024037242709,-0.01175777646545395
SRR4216884,G1,-0.22186961279618556,-0.19589518041760734
SRR4216885,G1,-0.20542871567726406,-0.26628246990966353
SRR4216886,G1,-0.03308292193208251,-0.002533093237169659
SRR4216887,G1,-0.20991995918139172,-0.2981767715380673
SRR4216888,G1,-0.02817306432999378,-0.0785744128740613
SRR4216889,G1,-0.20066998617836906,-0.27405526259075097
SRR4216890,G1,-0.24527153194802864,-0.4973436144759137
