,phase,S_score,G2M_score
SRR4216454,S,0.3914898165742121,-0.044223360997168504
SRR4216455,G1,-0.060608276974630115,-0.00366517965421842
SRR4216456,S,0.15619812353939966,-0.04812172076863619
SRR4216457,S,1.8279251513576051,0.29516207462051325
SRR4216458,S,0.29394964052910977,0.07064074917890317
SRR4216459,G1,-0.4081862845071932,-0.41101018544937995
SRR4216460,G1,-0.05430749647751687,-0.07369751818245329
SRR4216461,S,0.2029400155228127,-0.10685461228292648
SRR4216462,G1,-0.011148238335800031,-0.24963283312780482
SRR4216463,G2M,0.0216720779970776,0.10908867385909193
SRR4216464,S,0.027540814886582443,-0.13515865142631567
SRR4216465,S,0.4519811875685811,-0.3601600136264067
SRR4216466,G1,-0.22984655865240677,-0.0668554450557517
SRR4216467,G1,-0.038538374284552424,-0.22367278914645783
SRR4216468,S,0.021354751223304103,-0.055476259279377826
SRR4216469,S,0.7019241392896529,0.1441274471840519
SRR4216470,G1,-0.15355028623554723,-0.4825003095924242
SRR4216471,G1,-0.07374713064610283,-0.24271927696358997
SRR4216472,S,0.0948859124682282,-0.03401814440000006
SRR4216473,S,0.41675713070975595,-0.25909013863927743
SRR4216474,G1,-0.5015893577359657,-0.17404228944181832
SRR4216475,G1,-0.1510774031185389,-0.35164541425200135
SRR4216476,S,0.21398538643484333,-0.1424975925021701
SRR4216477,S,0.24853909821078535,0.21772515526330216
SRR4216478,G1,-0.3333625568874349,-0.03955274490261096
SRR4216479,G1,-0.048584803567067736,-0.06450602388892257
SRR4216480,S,0.1006717173900128,-0.13806089601117388
SRR4216481,G2M,0.059517016890739516,0.14056218339136017
SRR4216482,G2M,-0.3267532725076163,0.2035472562735532
SRR4216483,S,0.3686849456693,-0.17757841983009648
SRR4216484,G1,-0.4147219544269807,-0.30436974281399265
SRR4216485,S,0.32677604626098655,0.11887027055789279
SRR4216486,G2M,-0.0692625941433489,0.1888548238587553
SRR4216487,G1,-0.3986170132152834,-0.206652106408594
SRR4216488,S,0.45138856948240824,0.0012671526740579697
SRR4216489,S,0.2733283250111973,-0.034067142012303764
SRR4216490,S,0.05990240932814306,-0.029878146311233644
SRR4216491,S,0.3349442424512157,-0.10233021063305636
SRR4216492,G1,-0.10420041074931952,-0.20498533576998756
SRR4216493,S,0.02426377604714225,-0.10693033551686892
SRR4216494,S,0.7287109734332291,0.12479916987453032
SRR4216495,G2M,-0.2588995935404237,0.1258365877964267
SRR4216496,G1,-0.26122009730786877,-0.2846260635210489
SRR4216497,G2M,-0.3855155760880309,0.0601834784394526
SRR4216498,S,0.4083127555708139,-0.06304476414056948
SRR4216499,S,0.12895548387104494,-0.206213115387193
SRR4216500,S,0.5513554426812979,0.009262390454541691
SRR4216501,G2M,-0.21731509472563848,0.04624896414927404
SRR4216502,G1,-0.033970605835782264,-0.34690438503250864
SRR4216503,S,0.09120959663444572,-0.205693485013697
SRR4216504,G2M,-0.07229998721974817,0.24670373907995446
SRR4216505,G1,-0.06594476360281476,-0.15530430632727343
SRR4216506,S,0.46237431369243576,0.1501837861030204
SRR4216507,G2M,0.08467244072591418,0.1477693923372636
SRR4216508,G1,-0.04211080030864245,-0.3345010211256604
SRR4216509,G1,-0.09585964843476225,-0.20024972077391412
SRR4216510,S,0.8199544296499924,0.04452327680872026
SRR4216511,G1,-0.08298248171238187,-0.20076591975557234
SRR4216512,G2M,-0.06371591630555484,0.050246415360515106
SRR4216513,G1,-0.0667086291921416,-0.15465229749251463
SRR4216514,S,0.41177591677302905,0.05729505011107772
SRR4216515,G1,-0.2666815877261536,-0.05530834684321939
SRR4216516,S,0.2857840997617318,-0.30544591020220935
SRR4216517,G1,-0.31566249739398544,-0.29890689084064614
SRR4216518,G2M,-0.029394483980692665,0.16074482411529312
SRR4216519,S,2.3106349627433076e-05,-0.0493896943026384
SRR4216520,G2M,-0.21291286831046474,0.27957041369920854
SRR4216521,G1,-0.3581803420494343,-0.19872738066173723
SRR4216522,G2M,0.13929843929323926,0.19949719961164059
SRR4216523,G1,-0.09865158119554573,-0.22659939239398952
SRR4216524,S,0.13399490749999732,-0.44361793519710324
SRR4216525,G1,-0.2425574368711343,-0.007741276700546695
SRR4216526,G2M,-0.13683536509221628,0.0350602981577246
SRR4216527,G1,-0.022931189038421285,-0.03717475035731188
SRR4216528,S,0.2616112518952213,-0.28105576661848375
SRR4216529,G1,-0.5035743590393151,-0.01846601051528385
SRR4216530,G1,-0.08778103827628114,-0.13564551178857442
SRR4216531,S,0.11250906843480046,-0.3358667676821956
SRR4216532,G1,-0.1929340421368102,-0.06760040175800897
SRR4216533,S,0.2563942272121045,-0.16806292093785613
SRR4216534,G1,-0.27267314139821464,-0.03746232559718088
SRR4216535,G2M,-0.32468239559925394,0.09637635591377225
SRR4216536,G1,-0.284910772573323,-0.3695060361744231
SRR4216537,G2M,-0.14290216786539922,0.030476644721891155
SRR4216538,G1,-0.03603871449523188,-0.3239375775224953
SRR4216539,S,0.5752463547963537,0.1939274892633711
SRR4216540,S,0.2003157027201522,-0.1062999211071397
SRR4216541,G1,-0.02624599519884141,-0.11571439833320141
SRR4216542,G1,-0.02351348059899938,-0.16423424275058585
SRR4216543,S,0.28366121164316016,-0.09920353482939659
SRR4216544,S,0.18110335691990487,0.09508806390426028
SRR4216545,S,0.21467791173115214,-0.3558775711306158
SRR4216546,G2M,0.07486707528565884,0.16749434062549806
